name    target    f1    f2    f3    f4    f5    f6    iz1    iz2    iz3    iz4    iz5    iz6
bridge-10-21    0.02614    -684.49884    -642.04586    -30.50567    80.34768    234.64548    2807.02305    0.01317    0.39643    0.03085    0.13787    0.57075    135.74858
bridge-10-210    0.04221    -701.00327    -656.0416    37.50391    75.95594    224.7285    2802.20777    5.33E-04    0.19988    0.0383    0.0099    0.65284    60.41673
bridge-10-211    0.09002    -724.73901    -669.7457    -62.48121    44.3331    165.39176    2829.32982    1.16214    0.48842    0.00931    3.00E-06    0.04152    201.72307
bridge-10-212    0.03711    -702.27382    -657.96607    35.18015    68.56054    217.63538    2802.18719    2.75E-04    0.18515    0.03397    0.02193    0.63634    77.12749
bridge-10-213    0.0498    -716.7639    -651.07868    -31.96757    54.14843    174.33705    2819.08899    0.14306    0.54756    0.00216    0.01621    0.10813    221.76915
bridge-10-214    0.0673    -721.40195    -655.4973    -50.96356    54.43845    167.62534    2821.81945    0.39421    0.84209    0.00448    0.00357    0.05147    222.01269
bridge-10-215    0.08927    -724.73031    -669.18959    -62.30905    45.29796    165.28081    2828.74308    1.09985    0.52927    0.00902    3.00E-06    0.04053    202.84405
bridge-10-216    0.03239    -703.29039    -659.25245    -33.50509    62.61197    209.06729    2802.14852    2.60E-04    0.12631    0.0332    0.01944    0.63215    96.21873
bridge-10-217    0.08856    -724.76727    -668.68948    -62.13204    46.19268    165.21659    2828.09457    1.02857    0.56603    0.00862    3.00E-06    0.03972    203.81422
bridge-10-218    0.036    -713.10641    -651.19297    27.16687    49.66382    183.53612    2815.5427    0.04764    0.24945    0.0018    0.032    0.21762    208.0704
bridge-10-219    0.07674    -722.72883    -657.96445    -57.00037    52.6134    165.71582    2824.77627    0.61347    0.85098    0.00599    6.90E-04    0.04009    216.33915
bridge-10-22    0.02869    -689.71187    -643.20681    -54.12014    82.71263    265.02907    2804.42181    0.01233    0.56917    0.03778    0.13164    0.73619    96.99615
bridge-10-220    0.02978    -703.87549    -655.71608    32.28032    60.71169    209.646    2803.59534    0.00135    0.08633    0.04665    0.01757    0.59315    113.72838
bridge-10-221    0.0879    -724.91125    -667.96209    -61.95155    47.01811    165.19874    2827.46756    0.9496    0.60089    0.00812    2.00E-06    0.03907    204.63165
bridge-10-222    0.02694    -704.32381    -653.84909    34.27654    59.11775    207.73323    2803.91142    0.0015    0.02808    0.05003    0.01987    0.53456    133.28913
bridge-10-223    0.0873    -725.26275    -666.94979    -61.76974    47.77516    165.22641    2826.86152    0.86389    0.63509    0.00752    1.00E-06    0.03859    205.29648
bridge-10-224    0.0254    -705.49589    -651.64402    38.28565    57.57715    203.10939    2809.33657    5.90E-05    7.84E-04    0.05496    0.00924    0.49367    151.83955
bridge-10-225    0.08674    -725.87473    -665.80532    -61.58786    48.46508    165.29715    2826.22146    0.77349    0.66799    0.00684    0    0.03826    205.81344
bridge-10-226    0.04243    -716.35313    -652.87939    -14.07865    52.45634    178.98049    2815.51278    0.07063    0.38944    0.0013    0.02461    0.15878    215.92159
bridge-10-227    0.07642    -724.14261    -657.55481    -56.82567    53.0257    166.09768    2825.24774    0.49096    0.86659    0.00476    7.71E-04    0.04078    215.97131
bridge-10-228    0.05815    -720.51782    -652.44384    -43.18956    54.92797    171.02767    2817.60966    0.16436    0.75369    0.00232    0.00914    0.07551    222.90976
bridge-10-229    0.0671    -722.69926    -654.85213    -50.89396    54.69004    168.16502    2823.07657    0.28202    0.86945    0.00324    0.00377    0.05307    221.18711
bridge-10-23    0.0275    -682.70452    -646.33356    8.27437    76.02546    224.44739    2808.90087    0.01365    0.2728    0.02882    0.13177    0.42135    155.29596
bridge-10-230    0.02557    -707.61652    -656.75179    33.41129    53.72881    196.09138    2807.92409    7.17E-04    0.01272    0.04909    0.00408    0.43292    167.24446
bridge-10-231    0.08623    -726.73224    -664.79468    -61.40581    49.08897    165.40768    2825.52095    0.68095    0.69873    0.00609    0    0.03805    206.19446
bridge-10-232    0.02746    -709.82434    -654.1923    37.82016    47.76288    192.58102    2811.75328    0.00491    0.05162    0.0413    0.00569    0.36939    183.81102
bridge-10-233    0.08578    -727.76361    -664.05141    -61.22177    49.6487    165.55407    2824.88474    0.58917    0.72628    0.0053    1.00E-06    0.03795    206.45993
